subject_id,num_samples,accuracy,precision,recall,f1
1,480,0.8,0.7790697674418605,0.8375,0.8072289156626506
10,480,0.7729166666666667,0.7453183520599251,0.8291666666666667,0.7850098619329389
11,480,0.8458333333333333,0.8217054263565892,0.8833333333333333,0.8514056224899599
12,480,0.8520833333333333,0.8072727272727273,0.925,0.8621359223300971
13,480,0.8520833333333333,0.8287937743190662,0.8875,0.8571428571428571
14,480,0.5083333333333333,0.508695652173913,0.4875,0.4978723404255319
15,480,0.9375,0.9233870967741935,0.9541666666666667,0.9385245901639344
16,480,0.8916666666666667,0.8587786259541985,0.9375,0.896414342629482
17,480,0.8875,0.8661417322834646,0.9166666666666666,0.8906882591093117
18,480,0.7895833333333333,0.7564575645756457,0.8541666666666666,0.8023483365949119
19,480,0.8645833333333334,0.854251012145749,0.8791666666666667,0.86652977412731
2,480,0.7604166666666666,0.7637130801687764,0.7541666666666667,0.7589098532494759
20,480,0.8625,0.8107142857142857,0.9458333333333333,0.8730769230769231
21,480,0.8333333333333334,0.8448275862068966,0.8166666666666667,0.8305084745762712
22,480,0.7020833333333333,0.7081545064377682,0.6875,0.6976744186046512
3,480,0.6958333333333333,0.706140350877193,0.6708333333333333,0.688034188034188
4,480,0.7041666666666667,0.689922480620155,0.7416666666666667,0.714859437751004
5,480,0.84375,0.8,0.9166666666666666,0.8543689320388349
6,480,0.78125,0.8497409326424871,0.6833333333333333,0.7575057736720554
7,480,0.83125,0.8045977011494253,0.875,0.8383233532934131
8,480,0.8854166666666666,0.846441947565543,0.9416666666666667,0.8915187376725838
9,480,0.7604166666666666,0.817258883248731,0.6708333333333333,0.7368421052631579
